time,gyrx,gyry,gyrz
4902,    -4,    30,   106
4911,    -4,    30,   106
4921,    -4,    30,   106
4932,    -4,    30,   106
4941,    -4,    30,   106
4954,    -4,    30,   106
4961,    -4,    30,   106
4971,    -4,    30,   106
4985,    -4,    30,   106
4996,    -4,    30,   106
5002,    -4,    30,   106
5011,    -4,    30,   106
5021,    -4,    30,   106
5031,    -4,    30,   106
5042,    -4,    30,   106
5051,    -4,    30,   106
5067,    -4,    30,   106
5073,    -4,    30,   106
5081,    -4,    30,   106
5091,    -4,    30,   106
5101,    -4,    30,   106
5122,    -4,    30,   106
5128,    -4,    30,   106
5134,    -4,    30,   106
5142,    -4,    30,   106
5151,    -4,    30,   106
5161,    -4,    30,   106
5171,    -4,    30,   106
5181,    -4,    30,   106
5191,    -4,    30,   106
5201,    -4,    30,   106
5211,    -4,    30,   106
5221,    -4,    30,   106
5231,    -4,    30,   106
5249,    -4,    30,   106
5255,    -4,    30,   106
5264,    -4,    30,   106
5272,    -4,    30,   106
5281,    -4,    30,   106
5291,    -4,    30,   106
5301,    -4,    30,   106
5311,    -4,    30,   106
5321,    -4,    30,   106
5332,    -4,    30,   106
5341,    -4,    30,   106
5351,    -4,    30,   106
5362,    -4,    30,   106
5371,    -4,    30,   106
5382,    -4,    30,   106
5391,    -4,    30,   106
5401,    -4,    30,   106
5411,    -4,    30,   106
5421,    -4,    30,   106
5431,    -4,    30,   106
5441,    -4,    30,   106
5451,    -4,    30,   106
5461,    -4,    30,   106
5472,    -4,    30,   106
5481,    -4,    30,   106
5491,    -4,    30,   106
5502,    -4,    30,   106
5511,    -4,    30,   106
5526,    -4,    30,   106
5532,    -4,    30,   106
5542,    -4,    30,   106
5551,    -4,    30,   106
5562,    -4,    31,   106
5571,    -4,    30,   106
5581,    -4,    30,   106
5592,    -4,    30,   106
5601,    -4,    30,   106
5611,    -4,    30,   106
5621,    -4,    30,   106
5631,    -4,    30,   106
5641,    -4,    30,   106
5651,    -4,    30,   106
5662,    -4,    30,   106
5672,    -4,    30,   106
5681,    -4,    30,   106
5691,    -4,    30,   106
5701,    -4,    30,   106
5712,    -4,    30,   106
5721,    -4,    30,   106
5731,    -4,    30,   106
5742,    -4,    30,   106
5751,    -4,    30,   106
5762,    -4,    30,   106
5771,    -4,    30,   106
5782,    -4,    30,   106
5791,    -4,    30,   106
5804,    -4,    30,   106
5812,    -4,    30,   106
5821,    -4,    30,   106
5834,    -4,    30,   106
5842,    -4,    30,   106
